id,Name,brand,price,imgUrl
1,Jack & Jones Originals relaxed t-shirt with globe back print in beige,Jack & Jones,$22.00,images.asos-media.com/products/jack-jones-originals-relaxed-t-shirt-with-globe-back-print-in-beige/204645590-1-moonbeam
2,ASOS DESIGN crew neck T-shirt with panel detail in dusty pink,ASOS DESIGN,$17.50,images.asos-media.com/products/asos-design-crew-neck-t-shirt-with-panel-detail-in-dusty-pink/205172184-1-shadowgrey
3,ASOS DESIGN linen look henley t-shirt in ecru,ASOS DESIGN,$29.00,images.asos-media.com/products/asos-design-linen-look-henley-t-shirt-in-ecru/205140855-1-ecru
4,PS Paul Smith flower grid graphic relaxed fit T-shirt in white,PS Paul Smith,$95.00,images.asos-media.com/products/ps-paul-smith-flower-grid-graphic-relaxed-fit-t-shirt-in-white/204911149-1-white
5,Nike Running Dri-FIT Challenger 7UL shorts in khaki,Nike Running,$40.00,images.asos-media.com/products/nike-running-dri-fit-challenger-7ul-shorts-in-khaki/204031509-1-khaki
6,ASOS DESIGN slim linen shorts in mid length in stripe print,ASOS DESIGN,$36.00,images.asos-media.com/products/asos-design-slim-linen-shorts-in-mid-length-in-stripe-print/204569407-1-multi
7,Nike Training Dri-FIT Flex 6-inch shorts in red,Nike Training,$68.00,images.asos-media.com/products/nike-training-dri-fit-flex-6-inch-shorts-in-red/203385696-1-grey
8,Weekday Ken smart jersey shorts in black,Weekday,$46.00,images.asos-media.com/products/weekday-ken-smart-jersey-shorts-in-black/205003798-1-black
9,ASOS DESIGN satin shirt with Renaissance cherub print,ASOS DESIGN,$40.00,images.asos-media.com/products/asos-design-satin-shirt-with-renaissance-cherub-print/204948488-1-grey
10,ASOS DESIGN relaxed camp collar shirt with broderie panel inserts in stone,ASOS DESIGN,$50.00,images.asos-media.com/products/asos-design-relaxed-camp-collar-shirt-with-broderie-panel-inserts-in-stone/204685180-1-stone
11,Weekday oversized long sleeve textured shirt in black,Weekday,$77.00,images.asos-media.com/products/weekday-oversized-long-sleeve-textured-shirt-in-black/205135463-1-black
12,Nike Trend rugby polo in stone,Nike,$100.00,images.asos-media.com/products/nike-trend-rugby-polo-in-stone/203557905-1-grey
13,Tommy Jeans austin slim taper jeans in washed black,Tommy Jeans,$131.00,images.asos-media.com/products/tommy-jeans-austin-slim-taper-jeans-in-washed-black/204844470-1-black
14,Weekday Astro loose fit wide leg jeans in seventeen blue,Weekday,$87.00,images.asos-media.com/products/weekday-astro-loose-fit-wide-leg-jeans-in-seventeen-blue/205003801-1-seventeenblue
15,ASOS DESIGN flared jeans with snake print in mid wash blue,ASOS DESIGN,$64.00,images.asos-media.com/products/asos-design-flared-jeans-with-snake-print-in-mid-wash-blue/204800754-1-midwashblue
16,Topman stretch skinny jeans in mid wash,Topman,$42.00,images.asos-media.com/products/topman-stretch-skinny-jeans-in-mid-wash/201634426-1-midwashblue
17,Farah Colbert plain swim shorts in dusty purple,Farah,$69.00,images.asos-media.com/products/farah-colbert-plain-swim-shorts-in-dusty-purple/204548434-1-purple
18,ellesse Knights swim shorts in navy,ellesse,$43.00,images.asos-media.com/products/ellesse-knights-swim-shorts-in-navy/204640230-1-navy
19,ellesse Scorfano swim shorts with side taping in dark blue,ellesse,$46.00,images.asos-media.com/products/ellesse-scorfano-swim-shorts-with-side-taping-in-dark-blue/204640074-1-darkblue
20,adidas Originals 33 CLX swim shorts in pink,adidas Originals,$45.00,images.asos-media.com/products/adidas-originals-33-clx-swim-shorts-in-pink/204492441-1-pink
21,ASOS DESIGN slim suit in navy in micro texture,ASOS DESIGN,$171.00,images.asos-media.com/groups/asos-design-slim-suit-in-navy-in-micro-texture/205459285-group-1
22,Labelrail x Stan & Tom toile print fitted double breasted suit blazer in pink - part of a set,Labelrail,$156.00,images.asos-media.com/products/labelrail-x-stan-tom-toile-print-fitted-double-breasted-suit-blazer-in-pink-part-of-a-set/204970346-1-multipink
23,ASOS DESIGN Wedding super skinny suit pants in monochrome prince of wales plaid,ASOS DESIGN,$50.00,images.asos-media.com/products/asos-design-wedding-super-skinny-suit-pants-in-monochrome-prince-of-wales-plaid/201228498-1-black
24,Labelrail x Stan & Tom single breasted fitted suit jacket in salmon pink - part of a set,Labelrail,$122.00,images.asos-media.com/products/labelrail-x-stan-tom-single-breasted-fitted-suit-jacket-in-salmon-pink-part-of-a-set/204970327-1-pink
25,Topman classic t-shirt in white,Topman,$13.00,images.asos-media.com/products/topman-classic-t-shirt-in-white/203515883-1-white
26,Weekday oversized t-shirt with alien graphic print in off-white,Weekday,$33.00,images.asos-media.com/products/weekday-oversized-t-shirt-with-alien-graphic-print-in-off-white/205135491-1-offwhite
27,Gramicci original freedom long sleeve top in white,Gramicci,$91.00,images.asos-media.com/products/gramicci-original-freedom-long-sleeve-top-in-white/204701806-1-white
28,River Island palm embroidered t-shirt in stone,River Island,$45.00,images.asos-media.com/products/river-island-palm-embroidered-t-shirt-in-stone/205176392-1-stonemedium
29,COLLUSION zip hoodie in gray heather,Collusion,$43.90,images.asos-media.com/products/collusion-zip-hoodie-in-gray-heather/203872821-1-grey
30,Topman knit sweater with abstract placement in pink,Topman,$65.00,images.asos-media.com/products/topman-knit-sweater-with-abstract-placement-in-pink/203006426-1-grey
31,The North Face polartec sweatshirt in camo print,The North Face,$60.00,images.asos-media.com/products/the-north-face-polartec-sweatshirt-in-camo-print/204767810-1-grey
32,COLLUSION knit sweater with collar in charocal gray,Collusion,$39.90,images.asos-media.com/products/collusion-knit-sweater-with-collar-in-charocal-gray/204537080-1-charcoal
33,Topman houndstooth shacket in stone and navy,Topman,$119.00,images.asos-media.com/products/topman-houndstooth-shacket-in-stone-and-navy/202164584-1-multi
34,ASOS DESIGN oversized harrington jacket in washed stone,ASOS DESIGN,$79.00,images.asos-media.com/products/asos-design-oversized-harrington-jacket-in-washed-stone/204957318-1-stone
35,ASOS DESIGN oversized textured harrington jacket in gray,ASOS DESIGN,$86.00,images.asos-media.com/products/asos-design-oversized-textured-harrington-jacket-in-gray/204870939-1-grey
36,ASOS DESIGN lightweight harrington jacket in dark green,ASOS DESIGN,$43.00,images.asos-media.com/products/asos-design-lightweight-harrington-jacket-in-dark-green/204870595-1-green
37,Labelrail x Stan & Tom toile print cropped tapered pants in pink - part of a set,Labelrail,$104.00,images.asos-media.com/products/labelrail-x-stan-tom-toile-print-cropped-tapered-pants-in-pink-part-of-a-set/204970308-1-multipink
38,Labelrail x Stan & Tom fitted tapered suit pants in salmon pink - part of a set,Labelrail,$87.00,images.asos-media.com/products/labelrail-x-stan-tom-fitted-tapered-suit-pants-in-salmon-pink-part-of-a-set/204970217-1-pink
39,Weekday loose fit cargo pants in black,Weekday,$99.00,images.asos-media.com/products/weekday-loose-fit-cargo-pants-in-black/205135590-1-black
40,ASOS DESIGN straight pants in red camo print,ASOS DESIGN,$50.00,images.asos-media.com/products/asos-design-straight-pants-in-red-camo-print/205008657-1-multi
41,Dickies Aitkin sweatshirt in green,Dickies,$60.00,images.asos-media.com/products/dickies-aitkin-sweatshirt-in-green/203370087-1-green
42,Weekday oversized sweatshirt in beige,Weekday,$40.00,images.asos-media.com/products/weekday-oversized-sweatshirt-in-beige/201339679-1-beige
43,ASOS DESIGN polo sweatshirt with zip in black,ASOS DESIGN,$36.00,images.asos-media.com/products/asos-design-polo-sweatshirt-with-zip-in-black/204933735-1-black
44,Pull&Bear sweatshirt in black,Pull&Bear,$29.90,images.asos-media.com/products/pullbear-sweatshirt-in-black/205374474-1-black
45,Jack & Jones Premium wool overcoat in light grey,Jack & Jones,$153.00,images.asos-media.com/products/jack-jones-premium-wool-overcoat-in-light-grey/200924158-1-lightgreycheck
46,ASOS DESIGN utility gilet in grey,ASOS DESIGN,$54.00,images.asos-media.com/products/asos-design-utility-gilet-in-grey/204570342-1-grey
47,Topman plush bomber varsity jacket in navy,Topman,$139.00,images.asos-media.com/products/topman-plush-bomber-varsity-jacket-in-navy/202581008-1-navy
48,Topman velvet varsity bomber jacket in burgundy,Topman,$139.00,images.asos-media.com/products/topman-velvet-varsity-bomber-jacket-in-burgundy/202580858-1-burgundy
49,Topman faux leather puffer vest in black,Topman,$94.00,images.asos-media.com/products/topman-faux-leather-puffer-vest-in-black/202171305-1-black
50,Topman unlined over coat with color block in stone and black,Topman,$187.00,images.asos-media.com/products/topman-unlined-over-coat-with-color-block-in-stone-and-black/202171275-1-multicheck
