ProductTitle,ProductId,Rating,UserId,Gender
Gini and Jony Girls Knit White Top,42419,5,A39HTATAQ9V7YF,Girls
Gini and Jony Girls Black Top,34009,2,A3JM6GV9MNOF9X,Girls
Gini and Jony Girls Pretty Blossom Blue Top,40143,4,A1Z513UWSAAO0F,Girls
Doodle Kids Girls Pink I love Shopping Top,23623,3,A1WMRR494NWEWV,Girls
Gini and Jony Girls Black Capris,47154,4,A3IAAVS479H7M7,Girls
Doodle Kids Girls City Chic White Top,25520,2,AKJHHD5VEH7VG,Girls
Palm Tree Girls Pink Top,31120,2,A1BG8QW55XHN6U,Girls
Gini and Jony Girls Red Top,31118,5,A22VW0P4VZHDE3,Girls
Do u speak Green Girls Olive 3/4 Pant,54923,1,A3V3RE4132GKRO,Girls
Gini and Jony Girls Black Dress,31127,4,A327B0I7CYTEJC,Girls
Gini and Jony Girls Pink Capris,47153,2,AIFAAVTUYHEHB,Girls
Gini and Jony Girls Pretty Blossom Pink Top,40144,2,AVOGV98AYOFG2,Girls
Doodle Kids Girls White I love Shopping Top,23624,4,A6R426V4J7AOM,Girls
Allen Solly Kids Girls Poplin Pink Shorts,34693,3,AKGB62WGF35J8,Girls
Disney Kids Girl's Summer Fun Fair Yellow Teen Kidswear,4718,3,A3A4C2K3TWDAO5,Girls
Little Miss Girls Chatterbox Navy Blue Dress,36750,4,A3FV2Q7WPZMQPV,Girls
Gini and Jony Girls Pink Top,34007,5,A1RXI3A1E99112,Girls
Giny and Jony Girls Printed White & Pink Dress,31129,1,A26QL1FBQO9C0E,Girls
Disney Kids Girl's Fun In The Fair Yellow Teen Kidswear,4720,5,A19KEEVZYO1KO6,Girls
Doodle Cute Girls  Grey Tshirt,17612,2,A1F6HRR58TQ2R0,Girls
Doodle Girls Blue Printed Dress,50723,5,AVQP6PO1NK0IJ,Girls
Gini and Jony Girls Red Skirt,33271,3,A32IWHU4TUEQZR,Girls
Gini and Jony Girls Woven Navy Blue Shorts,41007,3,ASPJCWRXUOYYY,Girls
Gini and Jony Girls Pink Skirt,46813,2,A1LAW520BT5AM0,Girls
Gini and Jony Girls Woven Blue Shorts,41000,4,A3SWQ2QQ7JBPFA,Girls
Doodle Girl's Princess Lime Kidswear,8378,5,A2D7CPCZH5VFVZ,Girls
Gini and Jony Girls Green Shorts,39328,4,A274NIJWOQWE30,Girls
Doodle Girls Blue Washed Dress,50724,2,A2OMU0R0VM5O9I,Girls
Gini and Jony Girls Pink Skirt,46814,3,A2YFDS6DYGFLVQ,Girls
United Colors of Benetton Kids Girls Washed Blue Skirt,29171,2,AKA7T9TPISJ26,Girls
Gini and Jony Girls Black Dress,34065,1,AN33X95J5460X,Girls
Gini and Jony Girls Printed White Top,31173,1,A2UEOW698J0SSR,Girls
Doodle Girls Printed Grey Top,34091,1,A22ZFXQE8AWPEP,Girls
Doodle Girl's Dont Worry Hippie Yellow Teen Kidswear,8371,5,A9ZNJ2AXPO652,Girls
Gini and Jony Girls Blue Capris,39321,1,A169NC0ZW6XKRD,Girls
Gini and Jony Girls Woven Navy Blue Jeans,41009,5,AZWRTJPN7NXT,Girls
Doodle Girl's Hippie Chic Orange Teen Kidswear,8385,1,AH344ZAN5GNOM,Girls
Madagascar3 Girls Purple Printed T-Shirt,37613,5,A1YQUT1H2ENJ8U,Girls
Gini and Jony Kids Leggings,31180,5,A3C744AK5A6MMI,Girls
Gini and Jony Girls Red Top,31174,2,A2H6SFTV2892Z8,Girls
Gini and Jony Girls Printed Pink Dress,34062,3,A225CH9TTQPC4B,Girls
Gini and Jony Girls Roseatte Orange Top,40128,4,A2F6NPTGDMFXN9,Girls
Doodle Girl's Raw Edges Light Blue Kidswear,8382,1,A1DC0DSF3H3BCW,Girls
Gini and Jony Girls Black Leggings,39326,1,A3TR91FJ4MNFY9,Girls
Gini and Jony Girls Printed Teal Dress,31128,4,A3IANSH41YHFP1,Girls
Gini and Jony Girls White Top,31117,5,A2NRG4NQMLHDJQ,Girls
Disney Kids Girl's Fun In The Fair White Teen Kidswear,4719,4,A32G79IU2NJ2HS,Girls
Kids Ville Girls Turquoise Blue Top,38290,4,A3L2VTHD6W1E2Z,Girls
Little Miss Girls Blah White Top,36751,4,A15THVWZS6GQZY,Girls
Gini and Jony Girls Purple Top,34006,2,A1VCW66KPTNUV8,Girls
Gini and Jony Girls Nautical Blues Navy Blue Top,40946,1,AO5JB67V93FBL,Girls
Gini and Jony Girls Purple Top,31119,1,A1GWD6BDCLGC82,Girls
Gini and Jony Girls Kinky Pink Capris,40145,5,AJ85OD05LNNUY,Girls
Doodle Kids Girls Pink Retro Top,23625,5,A1E5CS6UI1LWQF,Girls
Gini and Jony Girls White Dress,31126,1,A1SWCNGOR3GMOQ,Girls
Gini and Jony Girls Pink Top,34008,1,A2IOZRH02O4C9S,Girls
Gini and Jony Girls Pretty Pink Top,40941,1,A1RGXKJ4RFIOCX,Girls
Gini and Jony Girls Woven White Top,42418,5,A11OEJ4R1PDTLN,Girls
Gini and Jony Girls Black Top,31121,3,AZ4FR14IPKML7,Girls
Disney Kids Girl's Summer Fun Fair Pink Teen Kidswear,4717,5,A251DS38L87XWF,Girls
Gini and Jony Girls Purple Top,31175,4,A1Z03R982SX8V2,Girls
Gini and Jony Girls Printed Pink Dress,34063,3,A1ZY0K46FYOTB6,Girls
Gini Jony Girls Printed White Top,39743,2,A3MAATZ091QZGE,Girls
Gini and Jony Girls Green Leggings,39327,3,A35XCJ5P6ZKRE9,Girls
Doodle Girl's Raw Edges Light Blue Teen Kidswear,8383,5,A2B3YKKXVN28TW,Girls
